Date,Close/Last,Volume,Open,High,Low,Day,Source
05/27/2021,503.86,3253773,501.8,505.1,498.54,318,nasdaq
05/28/2021,502.81,2911297,504.4,511.76,502.53,319,nasdaq
06/01/2021,499.08,2482555,504.01,505.41,497.7443,320,nasdaq
06/02/2021,499.24,2268979,499.82,503.22,495.82,321,nasdaq
06/03/2021,489.43,3887445,495.19,496.66,487.25,322,nasdaq
06/04/2021,494.74,3160487,492,501.86,490.95,323,nasdaq
06/07/2021,494.66,2791932,492.917,496.7,490.55,324,nasdaq
06/08/2021,492.39,2374037,497,498.82,489.37,325,nasdaq
06/09/2021,485.81,3055029,494.5,496.09,484.65,326,nasdaq
06/10/2021,487.27,4382928,487.165,490.21,482.14,327,nasdaq
06/11/2021,488.77,3123969,490,491.41,487.78,328,nasdaq
06/14/2021,499.89,4400222,489.68,503.5,486.91,329,nasdaq
06/15/2021,491.9,3104073,501.23,501.23,490.4,330,nasdaq
06/16/2021,492.41,3533206,495,496.46,486.28,331,nasdaq
06/17/2021,498.34,3198273,490.25,501.8,490.15,332,nasdaq
06/18/2021,500.77,5197576,496.4,504.49,495.24,333,nasdaq
06/21/2021,497,5277297,501.64,502.05,492.28,334,nasdaq
06/22/2021,508.82,5809271,498.54,513.55,495.795,335,nasdaq
06/23/2021,512.74,3944782,508.48,516.63,508.2,336,nasdaq
06/24/2021,518.06,3361202,517.96,520.96,514.4001,337,nasdaq
06/25/2021,527.07,5299072,528.84,533.06,525,338,nasdaq
06/28/2021,533.03,2820227,528.12,533.9399,524.56,339,nasdaq
06/29/2021,533.5,2314647,533.55,536.13,528.57,340,nasdaq
06/30/2021,528.21,2773445,534.055,534.38,526.82,341,nasdaq
07/01/2021,533.54,2805402,525.72,537.04,525.72,342,nasdaq
07/02/2021,533.98,1980316,535.5,538.5351,529.39,343,nasdaq
07/06/2021,541.64,2775051,533,542.86,533,344,nasdaq
07/07/2021,535.96,2722498,544.24,544.64,531.66,345,nasdaq
07/08/2021,530.76,3268988,530.93,535.5,529.09,346,nasdaq
07/09/2021,535.98,2777231,531,538.26,528.58,347,nasdaq
07/12/2021,537.31,1780738,540.3,540.6497,532.92,348,nasdaq
07/13/2021,540.68,2751593,535.76,545.33,535.76,349,nasdaq
07/14/2021,547.95,4659535,541.01,554.1,541.01,350,nasdaq
07/15/2021,542.95,5713873,553.97,557.5399,538.2,351,nasdaq
07/16/2021,530.31,3442101,541.81,544.06,527.05,352,nasdaq
07/19/2021,532.28,3885764,526.05,534.913,522.2401,353,nasdaq
07/20/2021,531.05,6930440,526.07,536.64,520.3,354,nasdaq
07/21/2021,513.63,11906790,526.13,530.99,505.61,355,nasdaq
07/22/2021,511.77,4328061,510.206,513.68,507,356,nasdaq
07/23/2021,515.41,3820478,512.16,517.41,504.66,357,nasdaq
07/26/2021,516.49,2254538,514.38,521.13,509.0101,358,nasdaq
07/27/2021,518.91,2759037,518.08,521.95,512.05,359,nasdaq
07/28/2021,519.3,2390466,521.82,524.47,516.98,360,nasdaq
07/29/2021,514.25,1736014,519.96,520.7799,513.7927,361,nasdaq
07/30/2021,517.57,2537107,512.69,519.79,510.9642,362,nasdaq
08/02/2021,515.15,2096632,519,519.85,510.51,363,nasdaq
08/03/2021,510.82,2579427,514.39,515.63,505.37,364,nasdaq
08/04/2021,517.35,2039374,513,517.98,510.37,365,nasdaq
08/05/2021,524.89,2556687,517.13,525.41,514.02,366,nasdaq
08/06/2021,520.55,1919798,524,526.84,519.39,367,nasdaq
08/09/2021,519.97,1367782,521.1469,522.6699,517.99,368,nasdaq
08/10/2021,515.84,1960544,520,520.79,512.965,369,nasdaq
08/11/2021,512.4,1673904,517,519.57,509.77,370,nasdaq
08/12/2021,510.72,1686170,511.86,513,507.2014,371,nasdaq
08/13/2021,515.92,2177736,512.64,521.44,511.51,372,nasdaq
08/16/2021,517.92,2033176,515.24,523.38,512.3,373,nasdaq
08/17/2021,518.91,2309803,515.465,520.79,514.2,374,nasdaq
08/18/2021,521.87,2582046,520,526.38,518.65,375,nasdaq
08/19/2021,543.71,7497292,522.74,548.39,521.87,376,nasdaq
08/20/2021,546.88,3776429,545.09,551.3883,539.1,377,nasdaq
08/23/2021,553.33,2602010,545.98,555.55,543.74,378,nasdaq
08/24/2021,553.41,2109525,551.484,555.3141,549.27,379,nasdaq
08/25/2021,547.58,2065621,550.16,552.84,545.45,380,nasdaq
08/26/2021,550.12,1595499,546.16,552.604,545.9,381,nasdaq
08/27/2021,558.92,3252595,551.6,564.17,549.25,382,nasdaq
08/30/2021,566.18,2434839,557.25,567.1648,556.45,383,nasdaq
08/31/2021,569.19,2431886,566.12,569.48,561.611,384,nasdaq
09/01/2021,582.07,5626214,569,591,569,385,nasdaq
09/02/2021,588.55,6184782,583.68,598.7567,583.68,386,nasdaq
09/03/2021,590.53,2684005,585.8,591.8783,583.14,387,nasdaq
09/07/2021,606.71,5830979,594.69,613.85,593.99,388,nasdaq
09/08/2021,606.05,5424503,603.84,615.6,595.71,389,nasdaq
09/09/2021,597.54,2954214,606.47,609.44,596.55,390,nasdaq
09/10/2021,598.72,3950764,598.16,609.45,593.67,391,nasdaq
09/13/2021,589.29,3062871,598.57,598.57,582.775,392,nasdaq
09/14/2021,577.76,3456958,584.89,587.28,575.56,393,nasdaq
09/15/2021,582.87,2755615,578.17,584.62,575.37,394,nasdaq
09/16/2021,586.5,1832028,584.3,587.48,577.72,395,nasdaq
09/17/2021,589.35,4145145,587.85,590.28,580.8501,396,nasdaq
09/20/2021,575.43,3732227,586.79,591.53,568.08,397,nasdaq
09/21/2021,573.14,2250884,578.31,581.88,569.37,398,nasdaq
09/22/2021,590.65,4021845,579.69,595.65,579.69,399,nasdaq
